"","year","treat","amended_bool","amendment_C_kg_ha"
"144",1965,9,TRUE,3000
"145",1965,10,TRUE,3000
"146",1965,11,TRUE,3000
"147",1965,12,TRUE,3000
"148",1965,13,TRUE,3000
"149",1965,14,TRUE,3000
"150",1965,15,TRUE,3000
"151",1966,1,FALSE,NA
"152",1966,2,FALSE,NA
"153",1966,3,FALSE,NA
"154",1966,4,FALSE,NA
"155",1966,5,FALSE,NA
"156",1966,6,FALSE,NA
"157",1966,7,FALSE,NA
"158",1966,8,FALSE,NA
"159",1966,9,FALSE,NA
"160",1966,10,FALSE,NA
"161",1966,11,FALSE,NA
"162",1966,12,FALSE,NA
"163",1966,13,FALSE,NA
"164",1966,14,FALSE,NA
"165",1966,15,FALSE,NA
"166",1967,1,FALSE,NA
"167",1967,2,FALSE,NA
"168",1967,3,FALSE,NA
"169",1967,4,FALSE,NA
"170",1967,5,TRUE,3000
"171",1967,6,TRUE,3000
"172",1967,7,TRUE,3000
"173",1967,8,TRUE,3000
"174",1967,9,TRUE,3000
"175",1967,10,TRUE,3000
"176",1967,11,TRUE,3000
"177",1967,12,TRUE,3000
"178",1967,13,TRUE,3000
"179",1967,14,TRUE,3000
"180",1967,15,TRUE,3000
"181",1968,1,FALSE,NA
"182",1968,2,FALSE,NA
"183",1968,3,FALSE,NA
"184",1968,4,FALSE,NA
"185",1968,5,FALSE,NA
"186",1968,6,FALSE,NA
"187",1968,7,FALSE,NA
"188",1968,8,FALSE,NA
"189",1968,9,FALSE,NA
"190",1968,10,FALSE,NA
"191",1968,11,FALSE,NA
"192",1968,12,FALSE,NA
"193",1968,13,FALSE,NA
"194",1968,14,FALSE,NA
"195",1968,15,FALSE,NA
"196",1969,1,FALSE,NA
"197",1969,2,FALSE,NA
"198",1969,3,FALSE,NA
"199",1969,4,FALSE,NA
"200",1969,5,TRUE,3000
"201",1969,6,TRUE,3000
"202",1969,7,TRUE,3000
"203",1969,8,TRUE,3000
"204",1969,9,TRUE,3000
"205",1969,10,TRUE,3000
"206",1969,11,TRUE,3000
"207",1969,12,TRUE,3000
"208",1969,13,TRUE,3000
"209",1969,14,TRUE,3000
"210",1969,15,TRUE,3000
"211",1970,1,FALSE,NA
"212",1970,2,FALSE,NA
"213",1970,3,FALSE,NA
"214",1970,4,FALSE,NA
"215",1970,5,FALSE,NA
"216",1970,6,FALSE,NA
"217",1970,7,FALSE,NA
"218",1970,8,FALSE,NA
"219",1970,9,FALSE,NA
"220",1970,10,FALSE,NA
"221",1970,11,FALSE,NA
"222",1970,12,FALSE,NA
"223",1970,13,FALSE,NA
"224",1970,14,FALSE,NA
"225",1970,15,FALSE,NA
"226",1971,1,FALSE,NA
"227",1971,2,FALSE,NA
"228",1971,3,FALSE,NA
"229",1971,4,FALSE,NA
"230",1971,5,TRUE,3000
"231",1971,6,TRUE,3000
"232",1971,7,TRUE,3000
"233",1971,8,TRUE,3000
"234",1971,9,TRUE,3000
"235",1971,10,TRUE,3000
"236",1971,11,TRUE,3000
"237",1971,12,TRUE,3000
"238",1971,13,TRUE,3000
"239",1971,14,TRUE,3000
"240",1971,15,TRUE,3000
"241",1972,1,FALSE,NA
"242",1972,2,FALSE,NA
"243",1972,3,FALSE,NA
"244",1972,4,FALSE,NA
"245",1972,5,FALSE,NA
"246",1972,6,FALSE,NA
"247",1972,7,FALSE,NA
"248",1972,8,FALSE,NA
"249",1972,9,FALSE,NA
"250",1972,10,FALSE,NA
"251",1972,11,FALSE,NA
"252",1972,12,FALSE,NA
"253",1972,13,FALSE,NA
"254",1972,14,FALSE,NA
"255",1972,15,FALSE,NA
"256",1973,1,FALSE,NA
"257",1973,2,FALSE,NA
"258",1973,3,FALSE,NA
"259",1973,4,FALSE,NA
"260",1973,5,TRUE,3000
"261",1973,6,TRUE,3000
"262",1973,7,TRUE,3000
"263",1973,8,TRUE,3000
"264",1973,9,TRUE,3000
"265",1973,10,TRUE,3000
